size type  blanks  precomp  comp_time  postcomp
6 4 28 39.2892451286 3.24582004547 13.9502930641
6 4 28 38.5015039444 2.81957697868 14.7996721268
6 4 28 38.3103990555 2.82983994484 14.3355081081
6 5 28 40.2935709953 2.84613490105 14.0508971214
6 5 28 38.4800741673 2.97552990913 14.67847085
6 5 28 39.7178530693 2.86703896523 14.6892688274
6 6 28 39.6370768547 2.79598999023 14.1213400364
6 6 28 39.6251180172 2.86213898659 13.9351298809
6 6 28 38.5480439663 2.90754985809 14.9529688358
6 1 29 38.6310639381 3.1231970787 15.8420000076
6 1 29 39.1429610252 2.89140820503 14.0981040001
6 1 29 38.4079060555 3.69172692299 14.1271271706
6 2 29 38.8011038303 2.86089396477 15.1812849045
6 2 29 39.3818438053 2.83719301224 14.3485760689
